aoa,cl,cd,L/D
0,-0.3228,0.08333,3.87375495
1,-0.3616,0.08828,4.096057997
2,-0.374,0.09485,3.943068002
3,-0.4397,0.1022,4.302348337
4,-0.4814,0.1122,4.290552585
5,-0.5183,0.1214,4.269357496
6,-0.5581,0.1325,4.212075472
7,-0.6,0.1448,4.143646409
8,-0.6416,0.1581,4.058191018
9,-0.6844,0.1728,3.960648148
10,-0.7293,0.1891,3.856689582
11,-0.7724,0.2069,3.733204447
12,-0.8129,0.2246,3.619323241
13,-0.8609,0.2464,3.493912338
14,-0.9014,0.266,3.388721805
15,-0.9479,0.2893,3.276529554
16,-0.9935,0.3127,3.177166613
17,-1.0406,0.338,3.078698225
18,-1.0912,0.3664,2.978165939
19,-1.1403,0.3952,2.885374494
20,-1.1839,0.4219,2.806115193
21,-1.231,0.4515,2.726467331
22,-1.2794,0.4832,2.647764901
23,-1.3272,0.5166,2.569105691
24,-1.3772,0.5523,2.493572334
25,-1.4224,0.5857,2.428547038
26,-1.4629,0.6173,2.369836384
27,-1.4992,0.6477,2.314651845
28,-1.5348,0.6778,2.264384774
29,-1.5723,0.7112,2.210770529
30,-1.6045,0.7418,2.162981936
31,-1.6395,0.7769,2.110310207
32,-1.6873,0.8229,2.050431401
33,-1.7303,0.867,1.995732411
34,-1.7695,0.9068,1.951367446
35,-1.8094,0.9545,1.895652174
36,-1.8486,1.0011,1.846568774
37,-1.8831,1.0452,1.801664753
38,-1.9174,1.0945,1.75185016
39,-1.9442,1.1436,1.700069955
40,-1.9609,1.1905,1.647123058
41,-1.9643,1.2436,1.579527179
42,-1.9442,1.2993,1.496344185
43,-1.8922,1.3168,1.436968408
44,-1.6733,1.3168,1.270732078
45,-1.6336,1.3517,1.208552194
46,-1.6372,1.3892,1.178520012
47,-1.5728,1.3861,1.134694466
48,-1.4551,1.4079,1.033525108
49,-1.3985,1.4301,0.977903643
50,-1.398,1.4907,0.93781445
51,-1.3879,1.5439,0.898957186
52,-1.4479,1.6373,0.884321749
53,-1.38,1.653,0.834845735
54,-1.373,1.708,0.803864169
55,-1.368,1.7696,0.773056058
